City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Rainfall,Snowfall,Hotel Name
2,Vaini,TO,77.0,-21.2,-175.2,light intensity shower rain,0.0,0,Keleti Beach Resort
7,Nizhniy Kuranakh,RU,88.61,58.84,125.49,broken clouds,0.0,0,Park Pobedy
10,Cockburn Town,TC,83.23,21.46,-71.14,clear sky,0.0,0,Osprey Beach Hotel
13,Mayo,US,82.4,38.89,-76.51,few clouds,0.0,0,Resorts Resource Group International
17,Tiarei,PF,80.6,-17.53,-149.33,broken clouds,0.0,0,Le Rocher de Tahiti
18,Umm Lajj,SA,81.88,25.02,37.27,broken clouds,0.0,0,Moon light Furnished Units
27,Tateyama,JP,75.99,34.98,139.87,broken clouds,0.0,0,Tateyama Seaside Hotel
31,Hithadhoo,MV,84.43,-0.6,73.08,scattered clouds,0.0,0,Scoop Guest House
32,Thinadhoo,MV,84.99,0.53,72.93,broken clouds,0.0,0,
35,Oistins,BB,82.4,13.07,-59.53,scattered clouds,0.0,0,Butterfly Beach Hotel
36,Albany,US,78.01,42.6,-73.97,overcast clouds,0.0,0,
39,Georgetown,MY,82.4,5.41,100.34,few clouds,0.0,0,Cititel Penang
40,Faanui,PF,78.82,-16.48,-151.75,overcast clouds,0.0,0,Bora-Bora Pearl Beach Resort & Spa
43,Bethel,US,78.01,41.37,-73.41,scattered clouds,0.0,0,Courtyard by Marriott Danbury
55,Youhao,CN,85.01,47.87,128.83,clear sky,0.0,0,Changcheng Hotel
59,Belaya Gora,RU,77.83,68.53,146.42,scattered clouds,0.0,0,
62,Waingapu,ID,82.56,-9.66,120.26,overcast clouds,0.0,0,Pondok Wisata Elim
64,Hilo,US,82.4,19.73,-155.09,scattered clouds,0.0,0,Hilo Hawaiian Hotel
65,Ponca City,US,86.0,36.71,-97.09,clear sky,0.0,0,Holiday Inn Express & Suites Ponca City
66,San Patricio,MX,84.2,19.22,-104.7,broken clouds,0.0,0,Hotel Cabo Blanco
67,Katsuura,JP,75.99,35.13,140.3,overcast clouds,0.0,0,Katsuura Hotel Mikazuki
68,Bandarbeyla,SO,81.97,9.49,50.81,broken clouds,0.0,0,REER XOOSHLE GROUP
70,Honiara,SB,86.0,-9.43,159.95,broken clouds,0.0,0,Heritage Park Hotel
72,Kushima,JP,82.0,31.46,131.23,broken clouds,0.0,0,Hanaoka
