City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sorong,ID,2020-07-11 23:11:34,-0.88,131.25,78.66,83,100,7.65
1,East London,ZA,2020-07-11 23:11:35,-33.02,27.91,56.62,55,62,18.07
2,Narsaq,GL,2020-07-11 23:11:36,60.92,-46.05,55.4,76,25,4.7
3,Pergamino,AR,2020-07-11 23:10:23,-33.89,-60.57,50.0,41,71,5.01
4,Castro,BR,2020-07-11 23:11:38,-24.79,-50.01,59.32,81,0,6.8
5,Hermanus,ZA,2020-07-11 23:07:56,-34.42,19.23,46.0,78,3,9.17
6,Victoria,HK,2020-07-11 23:08:17,22.29,114.16,86.0,70,74,8.99
7,Ushuaia,AR,2020-07-11 23:11:40,-54.8,-68.3,35.6,80,20,18.34
8,Cidreira,BR,2020-07-11 23:11:41,-30.18,-50.21,56.89,83,100,7.11
9,Qui Nhon,VN,2020-07-11 23:11:42,13.77,109.23,80.29,77,100,3.44
10,Lata,PT,2020-07-11 23:11:43,40.16,-8.33,72.0,89,100,3.02
11,Vancouver,CA,2020-07-11 23:06:53,49.25,-123.12,61.0,82,90,6.93
12,Longyearbyen,SJ,2020-07-11 23:11:45,78.22,15.64,44.6,70,40,23.04
13,Myitkyina,MM,2020-07-11 23:08:03,25.38,97.4,74.48,97,100,2.13
14,Calabozo,VE,2020-07-11 23:11:47,8.92,-67.43,77.29,88,55,2.64
15,Sao Miguel Do Araguaia,BR,2020-07-11 23:11:48,-13.28,-50.16,76.21,50,26,3.91
16,Faanui,PF,2020-07-11 23:11:49,-16.48,-151.75,78.21,76,20,17.92
17,Shenjiamen,CN,2020-07-11 23:11:50,29.96,122.3,78.37,90,92,24.67
18,Mujiayingzi,CN,2020-07-11 23:11:51,42.12,118.78,71.94,69,100,1.3
19,Havoysund,NO,2020-07-11 23:11:52,71.0,24.66,53.6,66,100,9.17
20,Muros,ES,2020-07-11 23:11:53,42.78,-9.06,71.01,68,0,8.99
21,Chitrakonda,IN,2020-07-11 23:11:54,18.12,82.08,75.43,84,100,1.14
22,Rikitea,PF,2020-07-11 23:11:55,-23.12,-134.97,69.46,70,13,15.95
23,Aklavik,CA,2020-07-11 23:11:57,68.22,-135.01,59.0,47,40,5.82
24,Port Alfred,ZA,2020-07-11 23:11:57,-33.59,26.89,52.0,71,37,5.01
25,Torbay,CA,2020-07-11 23:11:58,47.67,-52.73,66.2,72,40,14.99
26,Khuzdar,PK,2020-07-11 23:11:59,27.74,66.64,73.6,83,86,6.89
