City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall,Snowfall
0,Rikitea,PF,2020-07-13 01:46:32,-23.12,-134.97,70.93,75,54,13.18,broken clouds,0.0,0
1,Charters Towers,AU,2020-07-13 01:46:32,-20.1,146.27,66.83,30,39,16.58,scattered clouds,0.0,0
2,Vaini,TO,2020-07-13 01:46:33,-21.2,-175.2,77.0,78,75,17.22,light intensity shower rain,0.0,0
3,Cape Town,ZA,2020-07-13 01:54:16,-33.93,18.42,59.0,67,75,31.09,broken clouds,0.0,0
4,Mataura,NZ,2020-07-13 01:54:32,-46.19,168.86,45.0,83,83,4.92,broken clouds,0.0,0
5,Sitka,US,2020-07-13 01:54:13,57.05,-135.33,57.2,76,90,8.05,overcast clouds,0.0,0
6,Gizo,SB,2020-07-13 01:54:32,-8.1,156.84,81.68,78,100,9.15,light rain,0.54,0
7,Nizhniy Kuranakh,RU,2020-07-13 01:49:44,58.84,125.49,88.61,40,63,3.89,broken clouds,0.0,0
8,East London,ZA,2020-07-13 01:54:33,-33.02,27.91,61.79,31,0,12.17,clear sky,0.0,0
9,Kijang,KR,2020-07-13 01:54:33,35.24,129.21,68.0,88,90,12.75,heavy intensity rain,0.0,0
10,Cockburn Town,TC,2020-07-13 01:46:36,21.46,-71.14,83.23,79,0,15.73,clear sky,0.0,0
11,Busselton,AU,2020-07-13 01:54:33,-33.65,115.33,63.0,70,88,14.63,light rain,0.32,0
12,Chuy,UY,2020-07-13 01:54:33,-33.7,-53.46,43.05,73,49,9.24,scattered clouds,0.0,0
13,Mayo,US,2020-07-13 01:54:34,38.89,-76.51,82.4,65,20,10.29,few clouds,0.0,0
14,Lagoa,PT,2020-07-13 01:50:01,39.05,-27.98,68.65,80,0,15.57,clear sky,0.0,0
15,Port Alfred,ZA,2020-07-13 01:54:34,-33.59,26.89,60.64,32,0,9.51,clear sky,0.0,0
16,Hobart,AU,2020-07-13 01:54:18,-42.88,147.33,50.0,70,75,6.93,broken clouds,0.0,0
17,Tiarei,PF,2020-07-13 01:49:54,-17.53,-149.33,80.6,69,75,16.11,broken clouds,0.0,0
18,Umm Lajj,SA,2020-07-13 01:54:35,25.02,37.27,81.88,77,64,5.14,broken clouds,0.0,0
19,Sicamous,CA,2020-07-13 01:54:35,50.83,-118.99,57.0,86,90,3.02,overcast clouds,0.0,0
20,Namibe,AO,2020-07-13 01:54:35,-15.2,12.15,62.08,78,0,8.43,clear sky,0.0,0
21,Punta Arenas,CL,2020-07-13 01:52:07,-53.15,-70.92,33.8,86,22,16.11,few clouds,0.0,0
22,Huarmey,PE,2020-07-13 01:54:35,-10.07,-78.15,62.04,83,24,5.7,few clouds,0.0,0
23,Selfoss,IS,2020-07-13 01:54:36,63.93,-21.0,48.99,98,100,1.99,light rain,0.17,0
24,Makubetsu,JP,2020-07-13 01:54:36,45.37,141.82,60.8,82,75,9.17,broken clouds,0.0,0
